    Z                     p0                     p1                     p2                     p3                     p4                     p5                     p6                     p7                     p8                     p9
0.023     -0.185207485377634      3.474695177967077    -20.346732351743128     48.304030714214960     16.020000200950903   -327.695802444008109    713.439887599296185   -724.167832351830384    363.543010651425845    -72.736511027562756
0.024     -0.179006753039518      3.413615361642518    -20.143474035707246     48.419570119814722     13.093968986187837   -318.304200835699135    698.914764694257542   -712.058700089215563    358.309299595056530    -71.813790176353535
0.025     -0.176957095831425      3.388226360249149    -20.043695781467999     48.755209086103427     10.835817274860787   -313.873213298255337    694.774794979811645   -710.051895037912232    357.794908424277821    -71.746677388652287
0.026     -0.175245891433333      3.366774905770245    -19.669012238985687     47.923879032717032      6.959751197633561   -293.372987093818153    656.721173314597650   -674.939515676756400    341.622568945154455    -68.781221429311657
0.027     -0.177824408938861      3.287919731894124    -19.073395098639324     48.042514353994008     -1.387323537179363   -271.241846155716019    634.288695243657230   -668.696259425434505    345.409460713810404    -70.794661860289352
0.028     -0.174677961575068      3.242914744600040    -19.046827069974718     48.629935941340676     -2.623831445729015   -271.843356699968638    638.715770530399368   -674.165247810241567    348.296073581239682    -71.371079149882561
0.029     -0.171285016054575      3.230361612707283    -18.954730110188105     48.069090891797799     -2.367830727318237   -265.923855437613838    621.196257263583675   -652.954256479290734    336.283967249155864    -68.744995038305660
0.030     -0.167593450975002      3.195589110102652    -18.760423883501904     48.263451107401082     -5.956382492030775   -255.442382796665242    605.923657707022812   -640.299439452774664    330.552876456803574    -67.643271858591163
0.031     -0.164763182470599      3.165868613937214    -18.572077946326388     48.393043468144192    -10.089921617718909   -241.014855371706261    581.886275605780042   -618.542641510088743    320.253618618640360    -65.644428321973265
0.032     -0.165553623333471      3.154877421334894    -18.127414253382060     46.977923418767169    -13.981407972939854   -214.104251561339026    527.499512943975333   -565.593889167691259    294.802511301538800    -60.791780850937833
0.033     -0.160588626664288      3.126292926539943    -18.084493083381432     47.085312185957989    -15.366699886486707   -207.750887612865938    513.759523656586111   -550.567285278068653    286.726225862492527    -59.094473964669888
0.034     -0.162371142205998      3.125890550906482    -17.773433950997976     46.217351275967125    -17.942163722451525   -192.248581146100406    484.484624176512227   -523.408010381744930    274.151311006659228    -56.770458173595763
0.035     -0.159529985369920      3.093146655033041    -17.698704088012704     46.451352334992372    -19.384781337511360   -188.366863230089763    477.816235463545809   -516.547348777003890    270.441736480464442    -55.968541917536577
