    Z                     p0                     p1                     p2                     p3                     p4                     p5                     p6                     p7                     p8                     p9
0.026      3.950657594248801     -1.082392453785288      4.551935933351537    -14.976899699078423      1.057720480250378    161.413519915397700   -533.692241700268596    793.075580460450624   -576.430907073340222    165.930634673801677
0.027      3.950761718560243     -1.084277539899564      4.491471139739107    -14.563221413982347      1.273613908136259    153.159606015276523   -506.001583628593266    751.311767651128434   -545.884274784571062    157.131878818539064
0.028      3.950500782809051     -1.080676280722673      4.468818528789146    -14.608121243211986      1.703672029896255    153.355190845848568   -510.801516591874417    761.800234779963034   -555.075991536454126    160.076318967823852
0.029      3.950244838414864     -1.077162505547659      4.459765973183169    -14.852875126102356      2.566476007492115    156.402829964707877   -531.348502068926223    802.795183483166056   -590.982912441713893    171.919748023984567
0.030      3.949953795829373     -1.080044869824822      4.401042430814059    -14.020463923748670      1.547659004662562    140.901588646371948   -460.575251093343866    675.643694166080650   -484.906268588264766    137.846727256782486
0.031      3.949739448725568     -1.077191178971412      4.418614386431582    -14.330274250937903      1.800692979940514    147.092346052399648   -485.889020346413076    717.517721521970770   -517.280586518478913    147.522533645223149
0.032      3.949738931723929     -1.081230834649277      4.380852493726398    -13.955667103237561      1.545641685208396    142.295524127600714   -468.763449214795912    692.436217205116918   -499.960732593390617    142.877569811312554
0.033      3.949255901801854     -1.081278104006573      4.370554814995063    -13.822503992262984      1.406493173348453    140.590390087349931   -462.219000679018677    682.432530628301379   -492.744023564786914    140.837447329834077
0.034      3.949301635503515     -1.083741462977488      4.361697842447288    -13.573558626796219      0.732891375752462    138.466515005687228   -448.914822843507807    657.208295523976517   -471.472201679400371    134.023336581117832
0.035      3.949038051325515     -1.082045781322205      4.349293541185136    -13.522160367891846      0.885720670886935    136.659863174814006   -443.473529189638668    649.539596628616550   -466.230378849098940    132.623614500084756
0.036      3.948972796101574     -1.083089491710854      4.321911933437418    -13.301596664158282      0.801488316410583    133.123407658116662   -430.194694673413551    628.324681260727175   -450.048523227005603    127.795135638294639
0.037      3.948730172753319     -1.083702598692063      4.314747587665278    -13.208667870035580      0.668145885407741    130.941873626285485   -418.535688221267435    604.566462528179727   -428.144498263778587    120.182989853260196
0.038      3.948805972213427     -1.079846426702334      4.266207359731486    -13.252176059245912      1.890331267081340    129.259977549271241   -425.848571750522865    628.355430928099963   -453.150524834170767    129.302747726061710
0.039      3.948858824984435     -1.080768436103197      4.207420708560141    -12.870511236245052      2.026397481722974    122.363298901960533   -402.767267010850958    593.715807558366464   -427.927288380071218    122.067579213544832
0.040      3.948284343210208     -1.078415810293150      4.233470604371604    -13.042017728705328      1.944800585827740    124.962625964106820   -410.199793794595394    603.292764971799784   -433.963606993299152    123.588279135380617
