       V        B-V 
  18.576      0.893 
  17.790      0.885 
  18.784      0.955 
  18.933      0.927 
  15.267      1.307 
  18.380      0.906 
  17.828      0.880 
  18.231      0.859 
  18.004      0.878 
  17.974      0.796 
  17.366      0.963 
  18.237      0.984 
  18.003      0.849 
  17.797      0.741 
  19.737      0.948 
  19.870      1.012 
  16.698      1.139 
  19.500      1.058 
  19.486      1.012 
  17.473      1.108 
  16.774      1.129 
  18.276      0.910 
  17.409      0.866 
  19.312      0.972 
  19.143      0.939 
  19.257      1.014 
  19.592      1.076 
  19.591      1.061 
  19.716      1.175 
  19.121      1.034 
  18.625      0.996 
  18.391      0.887 
  18.505      0.876 
  18.440      0.841 
  19.115      0.955 
  17.056      1.129 
  19.455      1.001 
  18.208      0.860 
  18.531      0.892 
  18.292      0.834 
  17.897      0.781 
  17.968      0.876 
  17.428      0.981 
  17.972      0.886 
  17.435      0.828 
  17.513      0.907 
  18.385      0.920 
  18.014      0.894 
  17.826      0.895 
  17.814      0.859 
  18.307      0.835 
  15.103      1.339 
  18.089      0.916 
  17.918      0.866 
  17.776      0.854 
  19.997      1.070 
  18.564      0.914 
  17.383      0.905 
  18.296      0.841 
  18.799      1.048 
  18.800      0.996 
  19.408      1.083 
  18.269      0.950 
  17.757      0.803 
  18.733      1.048 
  19.736      0.967 
  19.183      0.970 
  18.490      0.975 
  17.976      0.849 
  16.569      1.199 
  19.044      0.977 
  17.976      0.847 
  19.168      0.900 
  17.380      0.980 
  19.397      1.133 
  19.824      1.096 
  19.620      1.069 
  18.319      0.894 
  17.290      0.869 
  17.353      0.891 
  18.754      1.028 
  18.524      0.888 
  18.540      0.965 
  17.848      0.856 
  17.945      0.911 
  16.428      1.190 
  17.764      0.810 
  18.158      0.875 
  18.662      1.032 
  14.060      1.574 
  18.318      0.864 
  14.550      1.340 
  19.216      1.080 
  17.630      0.847 
  17.349      0.885 
  19.413      1.185 
  18.205      0.842 
  18.915      0.968 
  17.578      0.836 
  17.467      0.887 
  19.428      1.105 
  19.676      1.072 
  18.440      0.919 
  18.366      0.891 
  19.392      0.969 
  17.934      0.822 
  18.240      0.878 
  17.371      1.121 
  17.284      1.047 
  17.700      0.822 
  19.277      1.092 
  19.119      0.946 
  18.870      0.999 
  16.715      1.186 
  18.918      1.015 
  17.348      1.009 
  14.787      1.390 
  17.280      0.936 
  18.270      0.876 
  17.964      0.834 
  17.538      0.902 
  19.294      0.962 
  18.814      0.978 
  19.009      1.006 
  19.306      1.022 
  17.861      0.836 
  17.748      0.842 
  18.623      0.906 
  19.324      1.012 
  17.689      0.843 
  18.152      0.879 
  18.200      0.840 
  19.326      1.061 
  18.620      0.873 
  18.413      0.854 
  19.191      1.114 
  18.408      0.899 
  18.222      0.879 
  18.176      0.859 
  18.952      0.925 
  17.510      1.089 
  18.800      0.986 
  19.710      1.156 
  17.954      0.837 
  19.660      1.184 
  17.373      1.159 
  18.108      0.862 
  18.285      0.876 
  19.663      1.040 
  17.298      1.085 
  17.465      0.844 
  19.229      1.074 
  19.427      0.946 
  18.600      0.906 
  17.549      0.803 
  17.944      0.789 
  18.621      0.957 
  18.695      0.983 
  19.464      1.134 
  18.573      0.863 
  17.580      0.805 
  17.132      1.182 
  17.317      0.900 
  17.612      0.828 
  17.649      0.804 
  14.695      1.356 
  17.836      0.838 
  18.655      0.888 
  18.043      0.889 
  17.819      0.844 
  19.814      1.084 
  16.860      1.154 
  17.971      0.923 
  19.514      0.994 
  17.357      0.892 
  18.332      0.957 
  17.522      0.902 
  18.310      0.786 
  18.370      0.825 
  18.212      0.854 
  19.703      1.038 
  18.033      0.917 
  19.318      1.181 
  17.957      0.745 
  16.667      1.166 
  17.417      0.880 
  17.367      0.938 
  19.992      1.171 
  18.598      0.901 
  19.136      0.999 
  19.697      0.989 
  19.567      0.940 
  18.951      0.875 
  18.789      0.936 
  18.371      0.766 
  19.070      0.938 
  19.580      1.133 
  17.583      0.895 
  19.643      1.191 
  18.211      0.762 
  17.492      1.109 
  18.332      0.881 
  19.095      1.031 
  17.653      0.815 
  17.700      0.844 
  19.950      1.009 
  17.825      0.841 
  18.261      0.825 
  19.927      1.146 
  17.869      0.794 
  18.443      0.989 
  18.867      0.945 
  19.492      0.975 
  19.172      0.925 
  17.877      0.867 
  19.373      0.898 
  17.452      0.860 
  17.789      0.904 
  18.829      0.847 
  19.040      1.044 
  18.252      0.882 
  18.455      1.000 
  18.663      0.867 
  17.520      1.079 
  18.737      0.864 
  17.982      0.853 
  19.725      1.141 
  18.518      0.886 
  17.493      0.883 
  15.822      1.250 
  19.275      1.059 
  17.846      0.849 
  19.549      1.013 
  17.542      0.861 
  18.334      0.879 
  17.630      0.786 
  18.006      0.846 
  17.658      0.841 
  17.268      1.120 
  18.407      0.868 
  17.783      0.727 
  17.372      0.931 
  19.228      1.146 
  19.767      1.109 
  19.404      0.968 
  17.203      1.136 
  17.389      0.901 
  18.824      0.912 
  18.238      0.895 
  18.504      0.867 
  19.581      1.074 
  19.183      1.032 
  19.549      1.109 
  18.341      0.831 
  19.481      0.901 
  18.208      0.936 
  19.553      1.065 
  18.988      1.107 
  19.943      1.252 
  19.203      0.982 
  19.186      1.083 
  17.446      0.827 
  19.925      1.127 
  18.625      0.806 
  18.029      0.883 
  18.194      0.927 
  18.042      0.907 
  14.569      1.345 
  17.446      1.035 
  17.589      0.914 
  18.265      0.828 
  18.425      0.873 
  18.942      0.981 
  17.714      0.850 
  19.442      1.035 
  18.108      0.843 
  18.317      0.846 
  18.595      0.933 
  17.954      0.934 
  17.715      0.856 
  14.904      1.357 
  18.936      0.910 
  18.952      0.889 
  19.015      1.040 
  18.203      0.932 
  18.231      0.816 
  14.134      1.572 
  17.919      0.798 
  18.064      0.878 
  17.606      0.860 
  17.441      1.080 
  17.935      0.874 
  18.151      0.860 
  19.568      1.042 
  18.368      0.844 
  17.695      0.862 
  17.437      1.007 
  18.184      0.904 
  18.502      0.978 
  19.074      1.032 
  17.466      0.864 
  17.338      0.875 
  18.951      0.891 
  17.336      0.969 
  17.751      0.804 
  18.684      0.970 
  19.149      1.115 
  18.644      0.880 
  18.713      0.997 
  18.973      1.039 
  16.241      1.295 
  18.240      0.878 
  17.835      0.784 
  17.806      0.863 
  19.493      0.957 
  17.344      0.881 
  17.920      0.842 
  18.301      0.913 
  19.146      0.948 
  18.618      0.961 
  19.051      1.032 
  17.497      0.810 
  17.477      1.071 
  17.991      0.864 
  19.184      1.097 
  19.285      1.028 
  17.595      0.792 
  19.543      1.029 
  19.571      1.149 
  18.436      0.853 
