       J        J-K 
  16.068      0.937 
  15.064      0.574 
  15.159      0.444 
  15.573      0.798 
  13.836      0.403 
  15.849      0.559 
  15.242      0.473 
  15.201      0.499 
  14.341      0.449 
  14.316      0.321 
  14.687      0.422 
  15.579      0.643 
  14.739      0.441 
  10.388      0.692 
  15.448      0.496 
  15.929      0.787 
  14.265      0.416 
  15.680      0.904 
  16.131      0.638 
  15.931      0.861 
  13.812      0.388 
  15.361      0.455 
  13.562      0.523 
  14.523      0.473 
  13.605      0.376 
  15.642      0.621 
  14.465      0.294 
  13.454      0.367 
  14.464      0.525 
  14.153      0.300 
  14.032      0.378 
  15.726      0.535 
  15.183      0.569 
  14.275      0.355 
  15.053      0.428 
  14.922      0.472 
  14.951      0.454 
  14.021      0.340 
  16.113      0.807 
  15.930      0.819 
  13.496      0.333 
  15.559      0.687 
  14.281      0.421 
  13.900      0.403 
  15.178      0.520 
  14.741      0.452 
  16.057      0.694 
  15.946      0.828 
  13.136      0.547 
  15.726      0.635 
  15.367      0.527 
  10.594      0.769 
  13.016      0.571 
  16.048      0.643 
  15.829      0.778 
  14.042      0.354 
  11.376      0.674 
  14.050      0.349 
  14.951      0.529 
  15.173      0.651 
  13.611      0.355 
  13.334      0.550 
  14.867      0.468 
  14.936      0.428 
  13.414      0.576 
  16.328      0.834 
  14.887      0.438 
  14.401      0.392 
  14.435      0.446 
  14.140      0.331 
  13.915      0.305 
  15.570      0.546 
  15.614      0.483 
  15.469      0.531 
  14.043      0.428 
  12.698      0.656 
  13.778      0.388 
  15.830      0.635 
  14.596      0.377 
  14.970      0.362 
  16.388      0.918 
  15.328      0.698 
  15.587      0.497 
  13.541      0.407 
  13.816      0.428 
  14.070      0.393 
  14.326      0.388 
  14.635      0.431 
  14.029      0.445 
  16.178      0.645 
  14.108      0.306 
  14.160      0.428 
  15.458      0.578 
  10.783      0.669 
  14.520      0.427 
  14.097      0.294 
  12.234      0.667 
  15.240      0.487 
  13.752      0.432 
  15.258      0.456 
  14.557      0.457 
  13.747      0.385 
  14.463      0.468 
  13.577      0.475 
  16.188      0.768 
  13.559      0.554 
  13.654      0.456 
  14.453      0.428 
  13.537      0.438 
  15.243      0.574 
  15.868      0.767 
  15.170      0.451 
  13.865      0.332 
  14.855      0.919 
  14.748      0.454 
  15.360      0.567 
  13.548      0.332 
  14.847      0.501 
  14.529      0.383 
  14.781      0.389 
  14.605      0.433 
  13.495      0.384 
  11.370      0.711 
  13.739      0.363 
  14.560      0.530 
  13.783      0.451 
  14.591      0.399 
  13.584      0.449 
  13.109      0.435 
  14.309      0.347 
  12.748      0.643 
  15.433      0.786 
  14.627      0.503 
  13.944      0.451 
  13.684      0.430 
  15.678      0.689 
  15.846      0.623 
  14.403      0.439 
  14.961      0.548 
  15.646      0.494 
  14.524      0.413 
  14.467      0.468 
  14.707      0.352 
  14.128      0.452 
  16.074      0.672 
  15.107      0.488 
  13.931      0.414 
  14.437      0.390 
  15.531      0.697 
  14.856      0.464 
  14.322      0.499 
  14.236      0.344 
  14.896      0.394 
  13.744      0.344 
  14.788      0.375 
  15.808      0.648 
  15.322      0.432 
  11.709      0.685 
  11.690      0.612 
  14.718      0.439 
  14.130      0.520 
  12.185      0.667 
  15.811      0.711 
  13.038      0.656 
  16.157      0.798 
  14.476      0.351 
  13.701      0.456 
  14.734      0.461 
  14.648      0.480 
  14.800      0.432 
  14.245      0.412 
  14.358      0.382 
  14.223      0.348 
  15.360      0.705 
  16.009      0.811 
  13.673      0.470 
  13.813      0.420 
  14.623      0.379 
  13.819      0.411 
  14.897      0.374 
  13.545      0.429 
  14.389      0.419 
  14.580      0.408 
  15.231      0.453 
  15.971      0.634 
  14.669      0.410 
  13.266      0.432 
  16.254      0.681 
  14.872      0.453 
  15.581      0.651 
  13.625      0.408 
  13.702      0.427 
  14.432      0.376 
   9.292      0.851 
  15.079      0.636 
  14.812      0.371 
  14.555      0.333 
  14.016      0.370 
  14.860      0.450 
  13.927      0.388 
  12.990      0.574 
  15.679      0.715 
  15.770      0.495 
  14.442      0.297 
  15.499      0.598 
  13.376      0.576 
  15.855      0.621 
  13.965      0.379 
  15.747      0.588 
  14.458      0.426 
  14.716      0.412 
  13.706      0.426 
  14.465      0.294 
  15.284      0.451 
   8.580      0.928 
  14.698      0.344 
  14.080      0.448 
  14.140      0.448 
  13.910      0.430 
  15.040      0.449 
  10.349      0.710 
  14.784      0.471 
  15.302      0.455 
  13.971      0.439 
  14.998      0.528 
  13.675      0.381 
  15.247      0.528 
  13.134      0.582 
  15.603      0.570 
  14.014      0.309 
  14.635      0.457 
  15.373      0.683 
  14.706      0.337 
  12.708      0.597 
  10.453      0.740 
