       G      Bp-Rp 
  15.010      1.320 
  12.024      0.658 
  16.879      2.014 
  16.256      1.745 
  16.409      1.849 
  16.981      2.032 
  14.110      1.067 
  17.585      2.357 
  15.375      1.432 
  16.230      1.744 
  12.880      0.784 
  16.653      2.020 
  12.261      0.690 
  17.616      2.289 
  11.101      0.242 
  11.357      0.481 
  16.703      1.870 
  15.106      1.355 
  14.770      1.232 
  14.051      1.050 
  17.733      2.317 
  14.495      1.219 
  12.840      0.805 
  16.777      1.838 
  13.583      0.877 
  15.649      1.526 
  15.536      1.490 
  15.760      1.592 
  11.681      0.566 
  14.400      1.102 
  15.414      1.409 
  15.573      1.362 
  15.415      1.458 
  17.799      2.329 
  13.183      0.858 
