       J        J-K 
  12.561      0.919 
  13.841      0.900 
   8.975      0.288 
  10.200      0.503 
  13.316      0.918 
  13.563      0.970 
  13.257      0.926 
  12.644      0.931 
  12.922      0.922 
  10.873      0.587 
  12.953      0.932 
  10.807      0.599 
  10.428      0.527 
  12.273      0.904 
  12.245      0.895 
  13.258      0.880 
  14.107      0.960 
  12.160      0.904 
  10.787      0.649 
  14.514      0.964 
   7.347     -0.035 
   9.900      0.398 
  12.664      0.919 
  14.190      0.912 
  13.312      0.896 
  11.851      0.926 
   8.873      0.233 
  11.294      0.697 
  14.400      0.931 
