       G      Bp-Rp 
  17.077      2.976 
  16.371      2.740 
  11.744      1.021 
  16.963      3.021 
   8.973      0.481 
  13.419      1.585 
  17.456      3.239 
  17.045      3.122 
  12.639      1.278 
  17.043      3.225 
  15.508      2.640 
  14.523      2.371 
  15.789      2.748 
  16.964      2.996 
  17.028      2.993 
  16.518      2.811 
  11.745      1.075 
  17.259      3.055 
  11.977      1.140 
  17.555      3.182 
  16.293      2.806 
  15.867      2.662 
  11.678      1.062 
  17.489      3.056 
  16.783      3.039 
  17.438      3.380 
  14.841      2.262 
   7.628      0.119 
  17.505      3.427 
  12.332      1.235 
  17.575      3.323 
  17.942      3.247 
  17.112      3.191 
  11.744      1.069 
  17.230      3.110 
   9.473      0.624 
  10.946      0.963 
  15.616      2.702 
  17.825      3.185 
  12.625      1.372 
  10.735      0.911 
  15.855      2.703 
  11.984      1.206 
  16.043      2.824 
  17.749      3.326 
  17.179      3.367 
  16.146      2.906 
  17.568      3.550 
  16.350      2.989 
  17.077      3.218 
  11.997      1.150 
  15.089      2.410 
  15.333      2.511 
  16.935      3.015 
   9.939      0.767 
  16.520      3.100 
  16.767      3.112 
  16.306      2.909 
  15.432      2.586 
  12.621      1.278 
  12.281      1.171 
  11.761      1.058 
  15.014      2.508 
  14.784      2.245 
  16.400      2.988 
  17.371      3.204 
  14.558      2.070 
  12.716      1.392 
  17.852      3.355 
   7.604      0.138 
  11.098      0.932 
  15.395      2.539 
  17.484      3.312 
  16.454      2.984 
  14.261      2.042 
   9.788      0.732 
  13.029      1.426 
  17.875      3.538 
